id_species,name_species,id_photo,slug,common_names_en,common_names_de,common_names_es,common_names_fr,scientific_name,taxonomy,id_category,tags
spizella-passerina,Chipping Sparrow,khm-20180520-1450-1526813438,chipping-sparrow,Chipping Sparrow,Schwirrammer,Chimbito común,Bruant familier,Spizella passerina,Passeriformes|Passerellidae,birds,"birds, sparrows"
sterna-hirundo,Common Tern,khm-20190608-2137-1560015429,common-tern,Common Tern,Fluss-Seeschwalbe,Charrán común,Sterne pierregarin,Sterna hirundo,Charadriiformes|Laridae,birds,"birds, shorebirds"
storeria-dekayi,DeKay's Brownsnake,khm-20190506-1322-1557134556,dekays-brownsnake,DeKay's Brownsnake,De Kay Braunschlange,Culebra parda De Kay,Couleuvre brune de DeKay,Storeria dekayi,Serpentes|Colubridae,snakes,snakes
sturnus-vulgaris,Common Starling,khm-20160123-2043-1453563813,common-starling,Common Starling,Gemeiner Star,Estornino pinto,Étourneau sansonnet,Sturnus vulgaris,Passeriformes|Sturnidae,birds,"birds, starlings"
sylvilagus-floridanus,Eastern Cottontail Rabbit,khm-20190421-2205-1555869902,eastern-cottontail-rabbit,Eastern Cottontail Rabbit,"Baumwollschwanz-Kaninchen, Florida-Waldkaninchen","Conejo castellano, Conejo de Florida",Lapin à queue blanche,Sylvilagus floridanus,Lagomorpha|Leporidae,mammals,"mammals, rodents"
tachycineta-bicolor,Tree Swallow,khm-20180512-1451-1526122282,tree-swallow,Tree Swallow,Sumpfschwalbe,Golondrina bicolor,Hirondelle bicolore,Tachycineta bicolor,Passeriformes|Hirundinidae,birds,"birds, swallows"
tamias-striatus,Eastern Chipmunk,khm-20170513-1650-1494679823,eastern-chipmunk,Eastern Chipmunk,Streifen-Backenhörnchen,Ardilla listada del Este americano,"Tamia rayé, Suisse",Tamias striatus,Rodentia|Sciuridae,mammals,"mammals, rodents"
tamiasciurus-hudsonicus,American Red Squirrel,khm-20190217-1218-0000109345,american-red-squirrel,American Red Squirrel,Gemeines Rothörnchen,Ardilla roja americana,Écureuil roux,Tamiasciurus hudsonicus,Rodentia|Sciuridae,mammals,"mammals, rodents"
thamnophis-sirtalis,Common Garter Snake,khm-20160417-1513-1460891611,common-garter-snake,Common Garter Snake,Gewöhnliche Strumpfbandnatter,"Serpiente de jarretera, Culebra rayada",Couleuvre rayée,Thamnophis sirtalis,Serpentes|Colubridae,snakes,snakes
thymelicus-lineola,"European Skipper, Essex Skipper",khm-20150718-1738-1437226706,european-skipper,"European Skipper, Essex Skipper",Schwarzkolbiger Braun-Dickkopffalter,Dorada Línea Corta,Hespérie du dactyle,Thymelicus lineola,Lepidoptera|Hesperiidae,butterflies,"butterflies, skippers"
tringa-flavipes,Lesser Yellowlegs,khm-20180525-2113-1527268409,lesser-yellowlegs,Lesser Yellowlegs,Kleiner Gelbschenkel,Pitotoy chico,Petit Chevalier,Tringa flavipes,Charadriiformes|Scolopacidae,birds,"birds, shorebirds"
